x,y
0.012,0.055
0.035,0.745
0.058,0.776
0.081,0.093
0.105,0.255
0.128,0.003
0.151,0.040
0.174,0.016
0.198,0.194
0.221,0.806
0.244,0.907
0.267,0.992
0.291,0.997
0.314,0.166
0.337,0.927
0.360,0.027
0.384,0.321
0.407,0.973
0.430,0.116
0.453,0.884
0.477,0.609
0.500,0.464
0.523,0.427
0.547,0.073
0.570,0.356
0.593,0.834
0.616,0.679
0.640,0.008
0.663,0.500
0.686,0.860
0.709,0.960
0.733,0.140
0.756,0.000
0.779,0.644
0.802,0.984
0.826,0.945
0.849,1.000
0.872,0.224
0.895,0.288
0.919,0.391
0.942,0.573
0.965,0.536
0.988,0.712
1.012,0.391
1.035,0.093
1.058,0.573
1.081,0.464
1.105,0.609
1.128,0.427
1.151,0.834
1.174,0.194
1.198,0.884
1.221,0.055
1.244,0.224
1.267,0.321
1.291,0.027
1.314,0.960
1.337,0.973
1.360,0.140
1.384,0.356
1.407,0.907
1.430,0.927
1.453,1.000
1.477,0.500
1.500,0.040
1.523,0.945
1.547,0.166
1.570,0.984
1.593,0.255
1.616,0.679
1.640,0.008
1.663,0.992
1.686,0.712
1.709,0.000
1.733,0.073
1.756,0.536
1.779,0.776
1.802,0.806
1.826,0.745
1.849,0.116
1.872,0.288
1.895,0.644
1.919,0.016
1.942,0.860
1.965,0.003
1.988,0.997
2.012,0.745
2.035,0.834
2.058,0.884
2.081,0.992
2.105,0.907
2.128,0.984
2.151,0.255
2.174,0.644
2.198,0.000
2.221,0.224
2.244,0.288
2.267,0.003
2.291,0.712
2.314,0.116
2.337,0.609
2.360,0.679
2.384,0.008
2.407,0.973
2.430,0.356
2.453,0.945
2.477,0.027
2.500,0.016
2.523,0.997
2.547,0.391
2.570,0.427
2.593,0.536
2.616,0.055
2.640,0.806
2.663,0.073
2.686,0.040
2.709,0.776
2.733,0.960
2.756,0.093
2.779,0.500
2.802,0.927
2.826,0.194
2.849,0.464
2.872,0.860
2.895,0.321
2.919,0.140
2.942,0.573
2.965,1.000
2.988,0.166
3.012,0.464
3.035,0.224
3.058,1.000
3.081,0.391
3.105,0.984
3.128,0.008
3.151,0.644
3.174,0.960
3.198,0.927
3.221,0.116
3.244,0.055
3.267,0.860
3.291,0.679
3.314,0.027
3.337,0.745
3.360,0.040
3.384,0.194
3.407,0.609
3.430,0.997
3.453,0.093
3.477,0.806
3.500,0.992
3.523,0.321
3.547,0.834
3.570,0.536
3.593,0.073
3.616,0.884
3.640,0.573
3.663,0.288
3.686,0.000
3.709,0.712
3.733,0.166
3.756,0.776
3.779,0.500
3.802,0.973
3.826,0.356
3.849,0.016
3.872,0.907
3.895,0.255
3.919,0.003
3.942,0.427
3.965,0.140
3.988,0.945
4.012,0.884
4.035,0.745
4.058,0.356
4.081,0.073
4.105,0.679
4.128,0.973
4.151,0.960
4.174,0.834
4.198,0.644
4.221,0.573
4.244,0.997
4.267,0.860
4.291,0.945
4.314,0.000
4.337,0.984
4.360,0.609
4.384,0.712
4.407,0.224
4.430,0.806
4.453,0.040
4.477,0.992
4.500,0.927
4.523,0.464
4.547,0.116
4.570,0.027
4.593,0.907
4.616,0.194
4.640,0.288
4.663,1.000
4.686,0.391
4.709,0.776
4.733,0.003
4.756,0.166
4.779,0.500
4.802,0.093
4.826,0.016
4.849,0.536
4.872,0.427
4.895,0.255
4.919,0.008
4.942,0.055
4.965,0.140
4.988,0.321
