x,y
0.012,0.000
0.035,0.140
0.058,0.140
0.081,0.140
0.105,0.860
0.128,0.500
0.151,1.000
0.174,0.860
0.198,0.140
0.221,0.140
0.244,0.140
0.267,0.140
0.291,0.860
0.314,0.140
0.337,0.140
0.360,0.860
0.384,0.860
0.407,0.860
0.430,0.140
0.453,0.860
0.477,0.860
0.500,0.860
0.523,0.140
0.547,0.140
0.570,0.140
0.593,0.860
0.616,0.860
0.640,0.140
0.663,0.140
0.686,0.860
0.709,0.860
0.733,0.140
0.756,0.860
0.779,0.860
0.802,0.860
0.826,0.140
0.849,0.860
0.872,0.140
0.895,0.140
0.919,0.860
0.942,0.140
0.965,0.860
0.988,0.860
1.012,0.140
1.035,0.000
1.058,0.140
1.081,0.140
1.105,0.860
1.128,0.140
1.151,0.140
1.174,0.860
1.198,0.860
1.221,0.140
1.244,1.000
1.267,0.140
1.291,0.860
1.314,0.860
1.337,0.140
1.360,0.860
1.384,0.860
1.407,0.860
1.430,0.140
1.453,0.860
1.477,0.140
1.500,0.860
1.523,0.860
1.547,0.860
1.570,0.140
1.593,0.860
1.616,0.860
1.640,0.860
1.663,0.860
1.686,0.140
1.709,0.140
1.733,0.140
1.756,0.860
1.779,0.860
1.802,0.140
1.826,0.860
1.849,0.140
1.872,0.500
1.895,0.140
1.919,0.860
1.942,0.140
1.965,0.140
1.988,0.140
2.012,1.000
2.035,0.140
2.058,0.860
2.081,0.860
2.105,0.860
2.128,0.860
2.151,0.500
2.174,0.140
2.198,0.860
2.221,0.860
2.244,0.860
2.267,0.140
2.291,0.860
2.314,0.860
2.337,0.140
2.360,0.860
2.384,0.000
2.407,0.140
2.430,0.860
2.453,0.140
2.477,0.140
2.500,0.140
2.523,0.140
2.547,0.140
2.570,0.140
2.593,0.860
2.616,0.140
2.640,0.860
2.663,0.140
2.686,0.140
2.709,0.860
2.733,0.860
2.756,0.860
2.779,0.860
2.802,0.860
2.826,0.140
2.849,0.140
2.872,0.140
2.895,0.140
2.919,0.140
2.942,0.860
2.965,0.140
2.988,0.860
3.012,0.860
3.035,0.140
3.058,0.860
3.081,0.140
3.105,0.140
3.128,0.860
3.151,0.140
3.174,0.140
3.198,0.140
3.221,0.860
3.244,0.140
3.267,0.860
3.291,0.500
3.314,0.140
3.337,0.140
3.360,0.140
3.384,0.860
3.407,0.860
3.430,0.860
3.453,0.140
3.477,0.860
3.500,0.860
3.523,0.860
3.547,0.860
3.570,1.000
3.593,0.140
3.616,0.860
3.640,0.860
3.663,0.000
3.686,0.140
3.709,0.140
3.733,0.860
3.756,0.860
3.779,0.140
3.802,0.140
3.826,0.140
3.849,0.860
3.872,0.140
3.895,0.860
3.919,0.860
3.942,0.860
3.965,0.140
3.988,0.140
4.012,0.860
4.035,0.140
4.058,0.140
4.081,0.500
4.105,0.140
4.128,0.140
4.151,0.860
4.174,0.860
4.198,0.860
4.221,0.860
4.244,0.140
4.267,0.140
4.291,0.140
4.314,0.140
4.337,0.860
4.360,0.140
4.384,0.140
4.407,0.140
4.430,0.140
4.453,1.000
4.477,0.860
4.500,0.860
4.523,0.140
4.547,0.860
4.570,0.140
4.593,0.140
4.616,0.860
4.640,0.140
4.663,0.860
4.686,0.860
4.709,0.860
4.733,0.860
4.756,0.860
4.779,0.860
4.802,0.860
4.826,0.860
4.849,0.860
4.872,0.140
4.895,0.140
4.919,0.140
4.942,0.140
4.965,0.000
4.988,0.860
