x,y
0.012,0.000
0.035,0.000
0.058,0.224
0.081,0.356
0.105,0.500
0.128,0.776
0.151,0.000
0.174,0.945
0.198,1.000
0.221,0.321
0.244,0.000
0.267,0.745
0.291,0.609
0.314,0.884
0.337,0.834
0.360,0.140
0.384,0.391
0.407,0.000
0.430,0.860
0.453,0.194
0.477,0.992
0.500,0.000
0.523,0.255
0.547,0.427
0.570,0.000
0.593,0.712
0.616,0.573
0.640,0.960
0.663,0.984
0.686,0.000
0.709,0.644
0.733,0.973
0.756,0.000
0.779,0.927
0.802,0.907
0.826,0.000
0.849,0.679
0.872,0.997
0.895,0.166
0.919,0.464
0.942,0.806
0.965,0.536
0.988,0.288
1.012,0.679
1.035,0.140
1.058,0.834
1.081,0.536
1.105,0.745
1.128,0.884
1.151,0.140
1.174,1.000
1.198,0.776
1.221,0.140
1.244,0.927
1.267,0.140
1.291,0.140
1.314,0.992
1.337,0.140
1.360,0.945
1.384,0.960
1.407,0.140
1.430,0.500
1.453,0.984
1.477,0.140
1.500,0.140
1.523,0.140
1.547,0.140
1.570,0.140
1.593,0.860
1.616,0.140
1.640,0.140
1.663,0.997
1.686,0.609
1.709,0.140
1.733,0.806
1.756,0.573
1.779,0.140
1.802,0.140
1.826,0.000
1.849,0.973
1.872,0.907
1.895,0.140
1.919,0.644
1.942,0.140
1.965,0.140
1.988,0.712
2.012,0.500
2.035,0.500
2.058,0.500
2.081,0.500
2.105,0.073
2.128,0.500
2.151,0.500
2.174,0.500
2.198,0.500
2.221,0.500
2.244,0.860
2.267,0.027
2.291,0.500
2.314,0.997
2.337,0.055
2.360,0.140
2.384,0.500
2.407,0.927
2.430,0.945
2.453,0.500
2.477,0.907
2.500,0.003
2.523,0.016
2.547,0.884
2.570,0.500
2.593,0.500
2.616,0.500
2.640,0.500
2.663,0.500
2.686,0.984
2.709,0.992
2.733,0.500
2.756,0.973
2.779,0.093
2.802,0.960
2.826,0.008
2.849,1.000
2.872,0.500
2.895,0.040
2.919,0.500
2.942,0.116
2.965,0.500
2.988,0.000
3.012,0.288
3.035,0.860
3.058,0.140
3.081,0.860
3.105,0.860
3.128,0.860
3.151,0.860
3.174,0.000
3.198,0.016
3.221,0.860
3.244,0.860
3.267,0.860
3.291,0.356
3.314,0.008
3.337,0.860
3.360,0.003
3.384,0.464
3.407,1.000
3.430,0.860
3.453,0.860
3.477,0.116
3.500,0.860
3.523,0.500
3.547,0.027
3.570,0.055
3.593,0.427
3.616,0.224
3.640,0.860
3.663,0.860
3.686,0.040
3.709,0.321
3.733,0.860
3.756,0.391
3.779,0.860
3.802,0.194
3.826,0.860
3.849,0.255
3.872,0.073
3.895,0.860
3.919,0.166
3.942,0.860
3.965,0.093
3.988,0.860
4.012,1.000
4.035,0.464
4.058,0.027
4.081,0.712
4.105,0.224
4.128,1.000
4.151,0.573
4.174,1.000
4.198,1.000
4.221,0.806
4.244,0.745
4.267,0.003
4.291,0.356
4.314,0.834
4.337,0.116
4.360,0.040
4.384,0.679
4.407,1.000
4.430,0.008
4.453,0.140
4.477,0.288
4.500,1.000
4.523,0.644
4.547,0.536
4.570,0.255
4.593,1.000
4.616,1.000
4.640,0.166
4.663,0.073
4.686,0.016
4.709,0.093
4.733,0.500
4.756,0.609
4.779,0.860
4.802,0.776
4.826,0.055
4.849,0.000
4.872,1.000
4.895,0.427
4.919,0.321
4.942,1.000
4.965,0.391
4.988,0.194
