x,y
0.012,0.924
0.014,0.812
0.017,0.026
0.020,0.874
0.023,0.478
0.026,0.925
0.029,0.896
0.032,0.912
0.035,0.474
0.037,0.680
0.040,0.197
0.043,0.977
0.046,0.798
0.049,0.991
0.052,0.116
0.055,0.043
0.058,0.777
0.060,0.144
0.063,0.901
0.066,0.232
0.069,0.118
0.072,0.557
0.075,0.974
0.078,0.741
0.081,0.886
0.083,0.976
0.086,0.535
0.089,0.865
0.092,0.421
0.095,0.820
0.098,0.807
0.101,0.093
0.104,0.114
0.106,0.955
0.109,0.640
0.112,0.872
0.115,0.206
0.118,0.443
0.121,0.842
0.124,0.130
0.126,0.684
0.129,0.943
0.132,0.162
0.135,0.054
0.138,0.364
0.141,0.513
0.144,0.969
0.147,0.711
0.149,0.829
0.152,0.171
0.155,0.889
0.158,0.915
0.161,0.062
0.164,0.009
0.167,0.984
0.170,0.057
0.172,0.140
0.175,0.623
0.178,0.006
0.181,0.002
0.184,0.390
0.187,0.553
0.190,0.045
0.193,0.938
0.195,0.019
0.198,0.351
0.201,0.430
0.204,0.750
0.207,0.671
0.210,0.936
0.213,0.223
0.215,0.188
0.218,0.014
0.221,0.202
0.224,0.636
0.227,0.087
0.230,0.153
0.233,0.064
0.236,0.910
0.238,0.518
0.241,0.645
0.244,0.276
0.247,0.972
0.250,0.908
0.254,0.128
0.257,0.768
0.260,0.047
0.263,0.272
0.266,0.953
0.269,0.403
0.272,0.724
0.275,0.085
0.279,0.069
0.282,0.219
0.285,0.948
0.288,0.658
0.291,0.138
0.294,0.759
0.297,0.119
0.300,0.957
0.303,0.950
0.307,0.035
0.310,0.469
0.313,0.755
0.316,0.879
0.319,0.867
0.322,0.579
0.325,0.919
0.328,0.095
0.332,0.073
0.335,0.967
0.338,0.932
0.341,0.702
0.344,0.881
0.347,0.917
0.350,0.894
0.353,0.097
0.356,0.851
0.360,0.994
0.363,0.838
0.366,0.228
0.369,0.834
0.372,0.794
0.375,0.698
0.378,0.614
0.381,0.893
0.385,0.988
0.388,0.000
0.391,0.123
0.394,0.903
0.397,0.090
0.400,0.059
0.403,0.038
0.406,0.913
0.410,0.996
0.413,0.050
